iter	Passed	Remaining
653	1403	742
654	1405	740
655	1407	737
656	1408	735
657	1410	733
658	1412	731
659	1414	728
660	1416	726
661	1418	724
662	1420	721
663	1422	719
664	1424	717
665	1426	715
666	1427	712
667	1429	710
668	1431	708
669	1433	706
670	1435	703
671	1437	701
672	1439	699
673	1441	697
674	1443	694
675	1445	692
676	1446	690
677	1448	688
678	1450	685
679	1451	683
680	1453	680
681	1455	678
682	1457	676
683	1459	674
684	1460	671
685	1462	669
686	1464	667
687	1466	664
688	1467	662
689	1469	660
690	1471	658
691	1473	655
692	1475	653
693	1476	651
694	1478	648
695	1480	646
696	1482	644
697	1483	641
698	1485	639
699	1487	637
700	1489	635
701	1490	632
702	1492	630
703	1494	628
704	1496	626
705	1497	623
706	1499	621
707	1501	619
708	1502	616
709	1504	614
710	1506	612
711	1508	610
712	1509	607
713	1511	605
714	1513	603
715	1515	600
716	1516	598
717	1518	596
718	1519	594
719	1521	591
720	1523	589
721	1525	587
722	1526	584
723	1528	582
724	1530	580
725	1532	578
726	1533	575
727	1535	573
728	1537	571
729	1539	569
730	1541	567
731	1542	564
732	1544	562
733	1546	560
734	1548	558
735	1550	556
736	1552	553
737	1553	551
738	1555	549
739	1557	547
740	1559	544
741	1560	542
742	1562	540
743	1563	538
744	1565	535
745	1567	533
746	1568	531
747	1570	529
748	1572	526
749	1574	524
750	1575	522
751	1577	520
752	1579	518
753	1581	515
754	1582	513
755	1584	511
756	1586	509
757	1587	506
758	1589	504
759	1591	502
760	1593	500
761	1594	498
762	1596	495
763	1598	493
764	1600	491
765	1602	489
766	1603	487
767	1605	485
768	1607	482
769	1609	480
770	1610	478
771	1612	476
772	1614	473
773	1615	471
774	1617	469
775	1619	467
776	1621	465
777	1623	463
778	1624	460
779	1626	458
780	1628	456
781	1630	454
782	1631	452
783	1633	450
784	1635	447
785	1636	445
786	1638	443
787	1640	441
788	1642	439
789	1643	436
790	1645	434
791	1647	432
792	1648	430
793	1650	428
794	1651	425
795	1653	423
796	1655	421
797	1656	419
798	1658	417
799	1660	415
800	1661	412
801	1663	410
802	1665	408
803	1667	406
804	1669	404
805	1671	402
806	1673	400
807	1674	397
808	1676	395
809	1678	393
810	1680	391
811	1682	389
812	1683	387
813	1685	385
814	1687	382
815	1688	380
816	1690	378
817	1692	376
818	1693	374
819	1695	372
820	1697	370
821	1698	367
822	1700	365
823	1701	363
824	1703	361
825	1705	359
826	1707	357
827	1709	355
828	1711	352
829	1712	350
830	1714	348
831	1716	346
832	1718	344
833	1719	342
834	1721	340
835	1723	338
836	1724	335
837	1726	333
838	1728	331
839	1730	329
840	1731	327
841	1733	325
842	1735	323
843	1737	321
844	1738	318
845	1740	316
846	1742	314
847	1744	312
848	1745	310
849	1747	308
850	1749	306
851	1750	304
852	1752	302
853	1754	299
854	1755	297
855	1757	295
856	1759	293
857	1760	291
858	1762	289
859	1764	287
860	1766	285
861	1767	283
862	1769	280
863	1771	278
864	1773	276
865	1777	275
866	1779	272
867	1781	270
868	1782	268
869	1784	266
870	1786	264
871	1788	262
872	1790	260
873	1792	258
874	1793	256
875	1795	254
876	1797	252
877	1798	249
878	1800	247
879	1802	245
880	1803	243
881	1805	241
882	1807	239
883	1809	237
884	1811	235
885	1812	233
886	1814	231
887	1816	229
888	1818	227
889	1820	224
890	1821	222
891	1823	220
892	1825	218
893	1826	216
894	1828	214
895	1830	212
896	1831	210
